City,IATA,Latitude,Longitude,Altitude
Tallinn,TLL,59.41329956049999,24.8327999115,131
Amsterdam,AMS,52.308601,4.76389,-11
Antalya,AYT,36.898701,30.800501,177
Athens,ATH,37.9364013672,23.9444999695,308
Barcelona,BCN,41.2971,2.07846,12
Berlin,TXL,52.5597,13.2877,122
Billund,BLL,55.7402992249,9.15178012848,247
Brussels,BRU,50.9014015198,4.48443984985,184
Copenhagen,CPH,55.617900848389,12.656000137329,17
Kopenhagen,CPH,55.617900848389,12.656000137329,17
Dublin,DUB,53.421299,-6.27007,242
Dubrovnik,DBV,42.5614013671875,18.268199920654297,527
Frankfurt,FRA,50.033333,8.570556,364
Helsinki,HEL,60.317199707031,24.963300704956,179
Herakleion,HER,35.3396987915,25.1802997589,115
Herakleion,HER,35.3396987915,25.1802997589,115
Istanbul,IST,41.275278,28.751944,325
Kuressaare,URE,58.22990036010742,22.50950050354004,14
Khutaisi,KUT,42.176700592,42.4826011658,223
Kärdla,KDL,58.99079895019531,22.830699920654297,18
London,LGW,51.148102,-0.190278,202
Malaga,AGP,36.67490005493164,-4.499110221862793,53
Malta,MLA,35.857498,14.4775,300
Milan,BGY,45.673901,9.70417,782
Munich,MUC,48.353802,11.7861,1487
Napoli,NAP,40.886002,14.2908,294
Nice,NCE,43.6584014893,7.215869903560001,12
Nuremburg,NUE,49.498699,11.078056,1046
Oslo,OSL,60.121,11.0502,681
Paphos,PFO,34.71799850463867,32.48569869995117,41
Paris,CDG,49.012798,2.55,392
Rhodos,RHO,36.405399322509766,28.086200714111328,17
Riga,RIX,56.92359924316406,23.971099853515625,36
Rome,FCO,41.8002778,12.2388889,13
Salzburg,SZG,47.7933006287,13.0043001175,1411
Split,SPU,43.53889846801758,16.29800033569336,79
Stockholm,ARN,59.651901245117,17.918600082397,137
Zürich,ZRH,47.464699,8.54917,1416
Venice,VCE,45.505299,12.3519,7
Warsaw,WAW,52.1656990051,20.9671001434,362
Vienna,VIE,48.110298156738,16.569700241089,600
Vilnius,VNO,54.634102,25.285801,648
Alanya,GZP,36.299217,32.300598,86
Burgas,BOJ,42.56959915161133,27.515199661254883,135
Funchal,FNC,32.697899,-16.7745,192
Hurghada,HRG,27.178300857543945,33.799400329589844,52
Sharm el Sheikh,SSH,27.9773006439,34.3950004578,143
Tivat,TIV,42.40470123291016,18.72330093383789,20
